ticker,yf_ticker,sector,industry
NTRS UW,NTRS,Financial Services,Asset Management
NUE UN,NUE,Basic Materials,Steel
NVDA UW,NVDA,Technology,Semiconductors
NVR UN,NVR,Consumer Cyclical,Residential Construction
NWS UW,NWS,Communication Services,Entertainment
NWSA UW,NWSA,Communication Services,Entertainment
NXPI UW,NXPI,Technology,Semiconductors
O UN,O,Real Estate,REIT - Retail
ODFL UW,ODFL,Industrials,Trucking
OKE UN,OKE,Energy,Oil & Gas Midstream
OMC UN,OMC,Communication Services,Advertising Agencies
ON UW,ON,Technology,Semiconductors
ORCL UN,ORCL,Technology,Software - Infrastructure
ORLY UW,ORLY,Consumer Cyclical,Auto Parts
OTIS UN,OTIS,Industrials,Specialty Industrial Machinery
OXY UN,OXY,Energy,Oil & Gas E&P
PANW UW,PANW,Technology,Software - Infrastructure
PARA UW,PARA,,
PAYC UN,PAYC,Technology,Software - Application
PAYX UW,PAYX,Technology,Software - Application
PCAR UW,PCAR,Industrials,Farm & Heavy Construction Machinery
PCG UN,PCG,Utilities,Utilities - Regulated Electric
PEG UN,PEG,Utilities,Utilities - Regulated Electric
PEP UW,PEP,Consumer Defensive,Beverages - Non-Alcoholic
PFE UN,PFE,Healthcare,Drug Manufacturers - General
PFG UW,PFG,Financial Services,Asset Management
PG UN,PG,Consumer Defensive,Household & Personal Products
PGR UN,PGR,Financial Services,Insurance - Property & Casualty
PH UN,PH,Industrials,Specialty Industrial Machinery
PHM UN,PHM,Consumer Cyclical,Residential Construction
PKG UN,PKG,Consumer Cyclical,Packaging & Containers
PLD UN,PLD,Real Estate,REIT - Industrial
PLTR UW,PLTR,Technology,Software - Infrastructure
PM UN,PM,Consumer Defensive,Tobacco
PNC UN,PNC,Financial Services,Banks - Regional
PNR UN,PNR,Industrials,Specialty Industrial Machinery
PNW UN,PNW,Utilities,Utilities - Regulated Electric
PODD UW,PODD,Healthcare,Medical Devices
POOL UW,POOL,Industrials,Industrial Distribution
PPG UN,PPG,Basic Materials,Specialty Chemicals
PPL UN,PPL,Utilities,Utilities - Regulated Electric
PRU UN,PRU,Financial Services,Insurance - Life
PSA UN,PSA,Real Estate,REIT - Industrial
PSX UN,PSX,Energy,Oil & Gas Refining & Marketing
PTC UW,PTC,Technology,Software - Application
PWR UN,PWR,Industrials,Engineering & Construction
PYPL UW,PYPL,Financial Services,Credit Services
QCOM UW,QCOM,Technology,Semiconductors
RCL UN,RCL,Consumer Cyclical,Travel Services
REG UW,REG,Real Estate,REIT - Retail
REGN UW,REGN,Healthcare,Biotechnology
RF UN,RF,Financial Services,Banks - Regional
RJF UN,RJF,Financial Services,Asset Management
RL UN,RL,Consumer Cyclical,Apparel Manufacturing
RMD UN,RMD,Healthcare,Medical Instruments & Supplies
ROK UN,ROK,Industrials,Specialty Industrial Machinery
ROL UN,ROL,Consumer Cyclical,Personal Services
ROP UW,ROP,Technology,Software - Application
ROST UW,ROST,Consumer Cyclical,Apparel Retail
RSG UN,RSG,Industrials,Waste Management
RTX UN,RTX,Industrials,Aerospace & Defense
RVTY UN,RVTY,Healthcare,Diagnostics & Research
SBAC UW,SBAC,Real Estate,REIT - Specialty
SBUX UW,SBUX,Consumer Cyclical,Restaurants
SCHW UN,SCHW,Financial Services,Capital Markets
SHW UN,SHW,Basic Materials,Specialty Chemicals
SJM UN,SJM,Consumer Defensive,Packaged Foods
SLB UN,SLB,Energy,Oil & Gas Equipment & Services
SMCI UW,SMCI,Technology,Computer Hardware
SNA UN,SNA,Industrials,Tools & Accessories
SNPS UW,SNPS,Technology,Software - Infrastructure
SO UN,SO,Utilities,Utilities - Regulated Electric
SOLV UN,SOLV,Healthcare,Medical Instruments & Supplies
SPG UN,SPG,Real Estate,REIT - Retail
SPGI UN,SPGI,Financial Services,Financial Data & Stock Exchanges
SRE UN,SRE,Utilities,Utilities - Diversified
STE UN,STE,Healthcare,Medical Devices
STLD UW,STLD,Basic Materials,Steel
STT UN,STT,Financial Services,Asset Management
STX UW,STX,Technology,Computer Hardware
STZ UN,STZ,Consumer Defensive,Beverages - Brewers
SW UN,SW,Consumer Cyclical,Packaging & Containers
SWK UN,SWK,Industrials,Tools & Accessories
SWKS UW,SWKS,Technology,Semiconductors
SYF UN,SYF,Financial Services,Credit Services
SYK UN,SYK,Healthcare,Medical Devices
SYY UN,SYY,Consumer Defensive,Food Distribution
T UN,T,Communication Services,Telecom Services
TAP UN,TAP,Consumer Defensive,Beverages - Brewers
TDG UN,TDG,Industrials,Aerospace & Defense
TDY UN,TDY,Technology,Scientific & Technical Instruments
TECH UW,TECH,Healthcare,Biotechnology
TEL UN,TEL,Technology,Electronic Components
TER UW,TER,Technology,Semiconductor Equipment & Materials
TFC UN,TFC,Financial Services,Banks - Regional
TFX UN,TFX,Healthcare,Medical Instruments & Supplies
TGT UN,TGT,Consumer Defensive,Discount Stores
TJX UN,TJX,Consumer Cyclical,Apparel Retail
TMO UN,TMO,Healthcare,Diagnostics & Research
TMUS UW,TMUS,Communication Services,Telecom Services
TPL UN,TPL,Energy,Oil & Gas E&P
TPR UN,TPR,Consumer Cyclical,Luxury Goods
TRGP UN,TRGP,Energy,Oil & Gas Midstream
TRMB UW,TRMB,Technology,Scientific & Technical Instruments
TROW UW,TROW,Financial Services,Asset Management
TRV UN,TRV,Financial Services,Insurance - Property & Casualty
TSCO UW,TSCO,Consumer Cyclical,Specialty Retail
TSLA UW,TSLA,Consumer Cyclical,Auto Manufacturers
TSN UN,TSN,Consumer Defensive,Farm Products
TT UN,TT,Industrials,Building Products & Equipment
TTWO UW,TTWO,Communication Services,Electronic Gaming & Multimedia
TXN UW,TXN,Technology,Semiconductors
TXT UN,TXT,Industrials,Aerospace & Defense
TYL UN,TYL,Technology,Software - Application
UAL UW,UAL,Industrials,Airlines
UBER UN,UBER,Technology,Software - Application
UDR UN,UDR,Real Estate,REIT - Residential
UHS UN,UHS,Healthcare,Medical Care Facilities
ULTA UW,ULTA,Consumer Cyclical,Specialty Retail
UNH UN,UNH,Healthcare,Healthcare Plans
UNP UN,UNP,Industrials,Railroads
UPS UN,UPS,Industrials,Integrated Freight & Logistics
URI UN,URI,Industrials,Rental & Leasing Services
USB UN,USB,Financial Services,Banks - Regional
V UN,V,Financial Services,Credit Services
VICI UN,VICI,Real Estate,REIT - Diversified
VLO UN,VLO,Energy,Oil & Gas Refining & Marketing
VLTO UN,VLTO,Industrials,Pollution & Treatment Controls
VMC UN,VMC,Basic Materials,Building Materials
VRSK UW,VRSK,Industrials,Consulting Services
VRSN UW,VRSN,Technology,Software - Infrastructure
VRTX UW,VRTX,Healthcare,Biotechnology
VST UN,VST,Utilities,Utilities - Independent Power Producers
VTR UN,VTR,Real Estate,REIT - Healthcare Facilities
VTRS UW,VTRS,Healthcare,Drug Manufacturers - Specialty & Generic
VZ UN,VZ,Communication Services,Telecom Services
WAB UN,WAB,Industrials,Railroads
WAT UN,WAT,Healthcare,Diagnostics & Research
WBA UW,WBA,,
WBD UW,WBD,Communication Services,Entertainment
WDAY UW,WDAY,Technology,Software - Application
WDC UW,WDC,Technology,Computer Hardware
WEC UN,WEC,Utilities,Utilities - Regulated Electric
WELL UN,WELL,Real Estate,REIT - Healthcare Facilities
WFC UN,WFC,Financial Services,Banks - Diversified
WM UN,WM,Industrials,Waste Management
WMB UN,WMB,Energy,Oil & Gas Midstream
WMT UN,WMT,Consumer Defensive,Discount Stores
WRB UN,WRB,Financial Services,Insurance - Property & Casualty
WST UN,WST,Healthcare,Medical Instruments & Supplies
WTW UW,WTW,Financial Services,Insurance Brokers
WY UN,WY,Real Estate,REIT - Specialty
WYNN UW,WYNN,Consumer Cyclical,Resorts & Casinos
XEL UW,XEL,Utilities,Utilities - Regulated Electric
XOM UN,XOM,Energy,Oil & Gas Integrated
XYL UN,XYL,Industrials,Specialty Industrial Machinery
YUM UN,YUM,Consumer Cyclical,Restaurants
